neighborhood,latitude,longitude,venue_name,venue_latitude,venue_longitude,venue_type
Anderson Mill,30.4558345,-97.8070957,Millrun Park,30.4515483714773,-97.80297466900612,Park
Anderson Mill,30.4558345,-97.8070957,Harper Park (in Anderson Mill),30.457868885244828,-97.81102410579457,Park
Anderson Mill,30.4558345,-97.8070957,Freda's Seafood Grille,30.46419584007542,-97.80377638592317,Seafood Restaurant
Anderson Mill,30.4558345,-97.8070957,Interstellar Bbq,30.461178,-97.81493,BBQ Joint
Anderson Mill,30.4558345,-97.8070957,Punch Austin Kettlebell Gym,30.447413351305013,-97.81029557309958,Gym / Fitness Center
Anderson Mill,30.4558345,-97.8070957,El Salido Park,30.453303340563366,-97.81692902325541,Playground
Anderson Mill,30.4558345,-97.8070957,Speedy Mart,30.447439788795382,-97.80430281315395,Food & Drink Shop
Anderson Mill,30.4558345,-97.8070957,YoCup Frozen Yogurt,30.44748929674269,-97.81066833965332,Frozen Yogurt Shop
Anderson Mill,30.4558345,-97.8070957,Subway,30.44748878479004,-97.81095886230469,Sandwich Place
Anderson Mill,30.4558345,-97.8070957,Mud Puppies,30.461866568774457,-97.81452963933815,Pet Store
Anderson Mill,30.4558345,-97.8070957,Hampton Inn & Suites,30.46323538151138,-97.80363768339157,Hotel
Anderson Mill,30.4558345,-97.8070957,Anderson Mill Tavern,30.446885522010078,-97.80665235847833,Pub
Anderson Mill,30.4558345,-97.8070957,Crown Donuts,30.447607,-97.81061,Donut Shop
Anderson Mill,30.4558345,-97.8070957,Delaware Sub Shop,30.44685999717389,-97.8066721054502,Sandwich Place
Anderson Mill,30.4558345,-97.8070957,Westwood HS Softball Fields,30.460304363985923,-97.80155177662384,Baseball Field
Anderson Mill,30.4558345,-97.8070957,Bollywood Shake,30.447607,-97.81061,Dance Studio
Anderson Mill,30.4558345,-97.8070957,Zi PIZZA,30.4473728,-97.8044124,Pizza Place
Anderson Mill,30.4558345,-97.8070957,Michi Ramen,30.447443,-97.810819,Ramen Restaurant
Barton Hills,30.2515707,-97.7841058,Barton Green Belt Trail,30.25830896233319,-97.7857054492145,Trail
Barton Hills,30.2515707,-97.7841058,Tacodeli,30.258312343129425,-97.78766475992212,Taco Place
Barton Hills,30.2515707,-97.7841058,Gourdough's Public House,30.245385743314827,-97.78040555747518,Bar
Barton Hills,30.2515707,-97.7841058,South Lamar Wine & Spirits,30.247000705632058,-97.77778387069702,Liquor Store
Barton Hills,30.2515707,-97.7841058,Maria's Taco Xpress,30.245923396869284,-97.7783463904216,Taco Place
Barton Hills,30.2515707,-97.7841058,Soup Peddler Real Food & Juice Bar,30.24388944299222,-97.78160303750064,Juice Bar
Barton Hills,30.2515707,-97.7841058,Matt's El Rancho,30.245307338988525,-97.7793942016119,Tex-Mex Restaurant
Barton Hills,30.2515707,-97.7841058,Whose Turn Is It? Games,30.244817642256272,-97.78079346051182,Hobby Shop
Barton Hills,30.2515707,-97.7841058,Amy's Ice Creams,30.24324073125167,-97.78230725493415,Ice Cream Shop
Barton Hills,30.2515707,-97.7841058,Papalote Taco House,30.243704694953944,-97.78206312484043,Taco Place
Barton Hills,30.2515707,-97.7841058,Giovanni's Pizza Stand,30.243698242973323,-97.78278023899004,Pizza Place
Barton Hills,30.2515707,-97.7841058,Mr. Natural,30.24702358611332,-97.77721714257929,Vegetarian / Vegan Restaurant
Barton Hills,30.2515707,-97.7841058,Thundercloud Subs,30.243672518245297,-97.78196598620609,Sandwich Place
Barton Hills,30.2515707,-97.7841058,Half Price Books,30.2427224,-97.7824698,Bookstore
Barton Hills,30.2515707,-97.7841058,Sukha Yoga,30.24742619310124,-97.77608218403812,Yoga Studio
Barton Hills,30.2515707,-97.7841058,Chipotle Mexican Grill,30.247625825192163,-97.77547723670978,Mexican Restaurant
Barton Hills,30.2515707,-97.7841058,Barton Creek Greenbelt Spyglass,30.259193026550868,-97.78951981831634,Pool
Barton Hills,30.2515707,-97.7841058,The Flats on Barton Creek Greenbelt,30.258261935287504,-97.78450177931416,Scenic Lookout
Barton Hills,30.2515707,-97.7841058,Phoenicia Bakery,30.24340545837691,-97.78305034414473,Bakery
Barton Hills,30.2515707,-97.7841058,Irie Bean Coffee,30.24753072021094,-97.77489209808351,Coffee Shop
Barton Hills,30.2515707,-97.7841058,Phil's Icehouse,30.24321523086543,-97.78241279744225,Burger Joint
Barton Hills,30.2515707,-97.7841058,Little Zilker Park,30.25113664243772,-97.77396300516453,Playground
Barton Hills,30.2515707,-97.7841058,El Chipirón,30.24418335027664,-97.78105972408221,Tapas Restaurant
Barton Hills,30.2515707,-97.7841058,Valero,30.243577365917414,-97.78269995371872,Convenience Store
Barton Hills,30.2515707,-97.7841058,Sonic Drive-In,30.245756324905,-97.780058225635,Fast Food Restaurant
Barton Hills,30.2515707,-97.7841058,Wholly Cow Burgers,30.24275418834798,-97.78389771903254,Burger Joint
Barton Hills,30.2515707,-97.7841058,Redbox,30.24615371577928,-97.77756472187279,Video Store
Barton Hills,30.2515707,-97.7841058,Barley Bean,30.25839614868164,-97.78751373291016,Coffee Shop
Barton Hills,30.2515707,-97.7841058,Kirk And Alvin’s Wall,30.246454,-97.79038,Nature Preserve
Barton Hills,30.2515707,-97.7841058,Cambell's Hole,30.259796712902215,-97.78488660803498,Other Great Outdoors
Bouldin Creek,30.255667,-97.7554813,Uchi,30.25759427998056,-97.75989112033848,Japanese Restaurant
Bouldin Creek,30.255667,-97.7554813,Terry Black's BBQ,30.25986,-97.75496,BBQ Joint
Bouldin Creek,30.255667,-97.7554813,Sanctuary Yoga,30.25544593252361,-97.76100463985817,Yoga Studio
Bouldin Creek,30.255667,-97.7554813,El Alma Cafe y Cantina,30.260118822109327,-97.75557735544075,Mexican Restaurant
Bouldin Creek,30.255667,-97.7554813,South Austin Trailer Park & Eatery,30.250978426092683,-97.75429373704375,Restaurant
Bouldin Creek,30.255667,-97.7554813,Merit Coffee,30.255237579345703,-97.76164245605469,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Moss Designer Consignment,30.257962009003098,-97.75914361124003,Thrift / Vintage Store
Bouldin Creek,30.255667,-97.7554813,Stitch Lab,30.254105776842383,-97.75299196139234,Arts & Crafts Store
Bouldin Creek,30.255667,-97.7554813,Elizabeth St. Café,30.24982842100761,-97.75482850985779,Vietnamese Restaurant
Bouldin Creek,30.255667,-97.7554813,Eberly,30.25860574988011,-97.75904892069148,New American Restaurant
Bouldin Creek,30.255667,-97.7554813,Butler Park (formerly Town Lake Park),30.261792,-97.754974,Park
Bouldin Creek,30.255667,-97.7554813,Lick Ice Creams,30.25565358973032,-97.7625261861055,Ice Cream Shop
Bouldin Creek,30.255667,-97.7554813,Conscious Cravings,30.25113865764655,-97.75429555378432,Vegetarian / Vegan Restaurant
Bouldin Creek,30.255667,-97.7554813,Seventh Flag Coffee,30.249728274259773,-97.75525011156844,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Odd Duck,30.25455779143491,-97.762236716608,New American Restaurant
Bouldin Creek,30.255667,-97.7554813,Gourdough's,30.24950919099921,-97.7549704719153,Donut Shop
Bouldin Creek,30.255667,-97.7554813,Sway Thai,30.250163222203394,-97.7547002010387,Thai Restaurant
Bouldin Creek,30.255667,-97.7554813,DEFINE South Lamar,30.257154864246754,-97.76049449188015,Gym / Fitness Center
Bouldin Creek,30.255667,-97.7554813,Auditorium Shores at Lady Bird Lake,30.259792212638185,-97.74901258927403,Park
Bouldin Creek,30.255667,-97.7554813,Long Center,30.260742345179793,-97.75064911658087,Performing Arts Venue
Bouldin Creek,30.255667,-97.7554813,Snarf's Sandwiches,30.250650500090632,-97.75506310681902,Sandwich Place
Bouldin Creek,30.255667,-97.7554813,Caffé Medici,30.255780172932962,-97.76244919940193,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Finley's Barber Shop,30.255155842461573,-97.76223109221579,Salon / Barbershop
Bouldin Creek,30.255667,-97.7554813,Peter Pan Mini Golf,30.260323049291642,-97.7576113659858,Mini Golf
Bouldin Creek,30.255667,-97.7554813,Alamo Drafthouse Cinema,30.255746110486417,-97.763725951135,Movie Theater
Bouldin Creek,30.255667,-97.7554813,Hotel San Jose,30.250687665696862,-97.74956415086605,Hotel
Bouldin Creek,30.255667,-97.7554813,Shake Shack,30.25588504782976,-97.76177020175025,Burger Joint
Bouldin Creek,30.255667,-97.7554813,P. Terry's Burger Stand,30.26168184496109,-97.75854342523931,Burger Joint
Bouldin Creek,30.255667,-97.7554813,Amy's Ice Creams,30.25098681026554,-97.74904795069426,Ice Cream Shop
Bouldin Creek,30.255667,-97.7554813,Sandy's Frozen Custard & Root Beer,30.258442451422372,-97.75094659991677,Ice Cream Shop
Bouldin Creek,30.255667,-97.7554813,Ramen Tatsu-ya,30.25389531735043,-97.76313448192407,Ramen Restaurant
Bouldin Creek,30.255667,-97.7554813,Doug Sahm Hill,30.26254597090395,-97.75398031259952,Scenic Lookout
Bouldin Creek,30.255667,-97.7554813,Jo's Coffee,30.25088273880465,-97.7492756957331,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Great Outdogs,30.26096478645842,-97.75750936295276,Pet Store
Bouldin Creek,30.255667,-97.7554813,Maximum FX,30.254177734381187,-97.74777418997266,Salon / Barbershop
Bouldin Creek,30.255667,-97.7554813,Sandy's Hamburgers,30.25839,-97.751007,Burger Joint
Bouldin Creek,30.255667,-97.7554813,Luke's Inside Out,30.254742826515997,-97.761717098496,Food Truck
Bouldin Creek,30.255667,-97.7554813,Hopdoddy Burger Bar,30.2496468,-97.7499054,Burger Joint
Bouldin Creek,30.255667,-97.7554813,Juliet Ristorante,30.261730999799163,-97.76019571922974,Italian Restaurant
Bouldin Creek,30.255667,-97.7554813,Perla's Seafood and Oyster Bar,30.249911092409054,-97.74979543938919,Seafood Restaurant
Bouldin Creek,30.255667,-97.7554813,The Continental Club,30.25057462873491,-97.74915600102202,Rock Club
Bouldin Creek,30.255667,-97.7554813,Rollins Theatre,30.2601642048432,-97.7505972946742,Indie Movie Theater
Bouldin Creek,30.255667,-97.7554813,West Bouldin Creek Greenbelt,30.25445556640625,-97.76009368896484,Park
Bouldin Creek,30.255667,-97.7554813,I Love You So Much Graffiti,30.251063054627288,-97.74925010266327,Public Art
Bouldin Creek,30.255667,-97.7554813,Fresa's Chicken Al Carbon,30.24785207293409,-97.75501981129575,Restaurant
Bouldin Creek,30.255667,-97.7554813,Equinox Austin,30.253956,-97.7477392,Gym / Fitness Center
Bouldin Creek,30.255667,-97.7554813,Biscuits + Groovy,30.260792573476472,-97.75731373930235,Breakfast Spot
Bouldin Creek,30.255667,-97.7554813,Bombay Dhaba,30.25167557752588,-97.75424097980729,Food Truck
Bouldin Creek,30.255667,-97.7554813,Warby Parker,30.25041537,-97.74907647,Optical Shop
Bouldin Creek,30.255667,-97.7554813,Guero's Oak Garden,30.24941610949208,-97.75010435624583,Music Venue
Bouldin Creek,30.255667,-97.7554813,Juice Austin,30.25120537670227,-97.74894609618782,Food Truck
Bouldin Creek,30.255667,-97.7554813,House Wine,30.261821271177542,-97.75876613241785,Wine Bar
Bouldin Creek,30.255667,-97.7554813,Lady Bird Lake,30.26296776074358,-97.75102049720785,Lake
Bouldin Creek,30.255667,-97.7554813,Home Slice Pizza,30.24900396437326,-97.74975817165536,Pizza Place
Bouldin Creek,30.255667,-97.7554813,Dolce Neve,30.24760159263765,-97.75558723396534,Ice Cream Shop
Bouldin Creek,30.255667,-97.7554813,Austin Motel,30.251745384025565,-97.74907140238288,Motel
Bouldin Creek,30.255667,-97.7554813,TOMS Austin,30.24978183283354,-97.74940331447904,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Auditorium Shores Dog Park,30.263810186832067,-97.75378469161694,Dog Run
Bouldin Creek,30.255667,-97.7554813,Dougherty Arts Center,30.260301513734984,-97.75558261893106,Performing Arts Venue
Bouldin Creek,30.255667,-97.7554813,Viva Day Spa,30.263707964602773,-97.7572387826493,Spa
Bouldin Creek,30.255667,-97.7554813,Ten Thousand Villages,30.250547733869883,-97.74913573724236,Gift Shop
Bouldin Creek,30.255667,-97.7554813,Botticelli's,30.250546151941403,-97.74926145195674,Italian Restaurant
Bouldin Creek,30.255667,-97.7554813,Goorin Bros. Hat Shop,30.250395802413642,-97.74932469073966,Boutique
Bouldin Creek,30.255667,-97.7554813,Little Thai Food,30.25174125366068,-97.75392115334162,Thai Restaurant
Bouldin Creek,30.255667,-97.7554813,Barton Springs Saloon,30.26123519946251,-97.75872627638807,Dive Bar
Bouldin Creek,30.255667,-97.7554813,Kimber Modern,30.250135314929942,-97.7486087195593,Bed & Breakfast
Bouldin Creek,30.255667,-97.7554813,Hotel Saint Cecilia,30.252025921523273,-97.747183848333,Hotel
Bouldin Creek,30.255667,-97.7554813,Stag,30.248927194331902,-97.74965005270523,Men's Store
Bouldin Creek,30.255667,-97.7554813,More Home Slice,30.248998633702026,-97.74961207582722,Pizza Place
Bouldin Creek,30.255667,-97.7554813,Saxon Pub,30.253410231396106,-97.7632693739411,Rock Club
Bouldin Creek,30.255667,-97.7554813,Lucky Robot Japanese Kitchen,30.25094281793113,-97.74916470323556,Japanese Restaurant
Bouldin Creek,30.255667,-97.7554813,Hotel San Jose Bar,30.250404,-97.749042,Bar
Bouldin Creek,30.255667,-97.7554813,Soto - South Lamar,30.2558811,-97.7628877,Japanese Restaurant
Bouldin Creek,30.255667,-97.7554813,Lucy In Disguise With Diamonds,30.248814692083073,-97.75008596376016,Costume Shop
Bouldin Creek,30.255667,-97.7554813,Hot L Coffee,30.262123,-97.758988,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Thom's Market,30.26155878835867,-97.75968725874863,Grocery Store
Bouldin Creek,30.255667,-97.7554813,Topaz Salon,30.252308796430718,-97.76392490665054,Salon / Barbershop
Bouldin Creek,30.255667,-97.7554813,Bennu Coffee,30.256209236020776,-97.74634484015348,Coffee Shop
Bouldin Creek,30.255667,-97.7554813,Maudie's Too,30.25466,-97.76275,Mexican Restaurant
Bouldin Creek,30.255667,-97.7554813,Chi'lantro,30.25218261457109,-97.76405162204173,Korean Restaurant
Bouldin Creek,30.255667,-97.7554813,Carpenters Hall,30.262191856255196,-97.7587578320245,Restaurant
Bouldin Creek,30.255667,-97.7554813,Gibson Bar,30.255057745619958,-97.76197414702149,Bar
Bouldin Creek,30.255667,-97.7554813,YETI Flagship,30.25945840823272,-97.74636965927134,Sporting Goods Shop
Bouldin Creek,30.255667,-97.7554813,Greetings from Austin Mural,30.24752902510689,-97.75596473392702,Historic Site
Bouldin Creek,30.255667,-97.7554813,Stevie Ray Vaughan Statue,30.263105414992932,-97.75076024273378,Public Art
Bouldin Creek,30.255667,-97.7554813,Barlata,30.252468,-97.764229,Tapas Restaurant
Bouldin Creek,30.255667,-97.7554813,Burro Cheese Kitchen,30.25117192923178,-97.74891698429002,Sandwich Place
Bouldin Creek,30.255667,-97.7554813,Service Menswear,30.249820352799844,-97.75005600252899,Men's Store
Bouldin Creek,30.255667,-97.7554813,ZaCH Topfer Theatre,30.264145439456126,-97.75788992643356,Theater
Bouldin Creek,30.255667,-97.7554813,Moonlight Tower (South 1st & Monroe),30.249466928432277,-97.7550527556294,Monument / Landmark
Bouldin Creek,30.255667,-97.7554813,Thundercloud Subs,30.255246939580307,-97.74528080423097,Sandwich Place
Bouldin Creek,30.255667,-97.7554813,Austin City Lemons,30.249429610891504,-97.75052186458697,Juice Bar
Bouldin Creek,30.255667,-97.7554813,Freebirds World Burrito,30.2559598,-97.7468841,Mexican Restaurant
Bouldin Creek,30.255667,-97.7554813,Taco Joint,30.256362180456012,-97.74557550069356,Taco Place
Bouldin Creek,30.255667,-97.7554813,South Congress Cafe,30.247824424523518,-97.75056149869016,Café
Bouldin Creek,30.255667,-97.7554813,Schlotzsky's,30.26343474037164,-97.75766773649383,Sandwich Place
Bouldin Creek,30.255667,-97.7554813,Butler Park Pitch & Putt,30.263091937877505,-97.75635946296082,Golf Course
Bouldin Creek,30.255667,-97.7554813,Stella Blue Boutique & Salon,30.252120800997137,-97.74889267920682,Salon / Barbershop
Bouldin Creek,30.255667,-97.7554813,Lenoir,30.24684086911011,-97.75582251181979,New American Restaurant
Bouldin Creek,30.255667,-97.7554813,Allens Boots,30.24807705130508,-97.75033217379527,Shoe Store
Brentwood,30.3312641,-97.7364653,Amy's Ice Creams,30.332320082416157,-97.74026573486248,Ice Cream Shop
Brentwood,30.3312641,-97.7364653,The Peached Tortilla,30.3308151,-97.74022699999999,Asian Restaurant
Brentwood,30.3312641,-97.7364653,Atown,30.330255164228262,-97.74006484059159,Gift Shop
Brentwood,30.3312641,-97.7364653,Thunderbird Café & Tap Room,30.330972474126042,-97.73175358076551,Coffee Shop
Brentwood,30.3312641,-97.7364653,Phil's Icehouse,30.332178305799363,-97.74030089536767,Burger Joint
Brentwood,30.3312641,-97.7364653,Thundercloud Subs,30.328541193350283,-97.73953206089135,Sandwich Place
Brentwood,30.3312641,-97.7364653,Monkey Nest Coffee,30.32767022534103,-97.73960504797827,Coffee Shop
Brentwood,30.3312641,-97.7364653,Sap's Fine Thai Cuisine,30.333477249712047,-97.74087458994259,Thai Restaurant
Brentwood,30.3312641,-97.7364653,Ginny's Little Longhorn Saloon,30.32933054046221,-97.74014060519812,Dive Bar
Brentwood,30.3312641,-97.7364653,JewBoy Burgers,30.329938439982847,-97.74111061043953,Burger Joint
Brentwood,30.3312641,-97.7364653,Asahi Imports,30.336347298441353,-97.739225423351,Supermarket
Brentwood,30.3312641,-97.7364653,Brentwood Social House,30.332353189276173,-97.73507288926179,Coffee Shop
Brentwood,30.3312641,-97.7364653,Tomlinson's Feed & Pets,30.333207797144848,-97.74050037405951,Pet Store
Brentwood,30.3312641,-97.7364653,Dart Bowl,30.328979049414407,-97.73159602389406,Bowling Alley
Brentwood,30.3312641,-97.7364653,Walgreens,30.333967694973417,-97.7394551038742,Pharmacy
Brentwood,30.3312641,-97.7364653,Sarah's Mediterranean Grill & Market,30.324718652161206,-97.73991220146291,Falafel Restaurant
Brentwood,30.3312641,-97.7364653,Chi'lantro,30.32473301088047,-97.74002795953423,Korean Restaurant
Brentwood,30.3312641,-97.7364653,Twin Liquors,30.33317678346785,-97.74043886240939,Liquor Store
Brentwood,30.3312641,-97.7364653,Dancers Shape,30.32763114,-97.74012909,Yoga Studio
Brentwood,30.3312641,-97.7364653,Austin Cake Ball,30.326506916264943,-97.7406427369994,Bakery
Brentwood,30.3312641,-97.7364653,Lucy's Fried Chicken,30.32869230162789,-97.7401178957138,Fried Chicken Joint
Brentwood,30.3312641,-97.7364653,Taco Flats,30.330841121124035,-97.74009780659031,Taco Place
Brentwood,30.3312641,-97.7364653,Fonda San Miguel,30.325255284872625,-97.74352691956638,Mexican Restaurant
Brentwood,30.3312641,-97.7364653,Recycled Reads,30.326998289468555,-97.73948428661033,Used Bookstore
Brentwood,30.3312641,-97.7364653,Hat Creek Burger Co.,30.328374,-97.740035,American Restaurant
Brentwood,30.3312641,-97.7364653,Conscious Cravings,30.333127548543416,-97.73987462488564,Food Truck
Brentwood,30.3312641,-97.7364653,Torchy's Tacos,30.323369416059716,-97.73920141165945,Taco Place
Brentwood,30.3312641,-97.7364653,King Liquor,30.32625685887156,-97.74064576929754,Liquor Store
Brentwood,30.3312641,-97.7364653,El Tacorrido,30.326593375728315,-97.73952243673934,Taco Place
Brentwood,30.3312641,-97.7364653,Catholic Art & Gifts,30.33661545775956,-97.73889183863389,Miscellaneous Shop
Brentwood,30.3312641,-97.7364653,Savers,30.32503668921267,-97.74018479533038,Thrift / Vintage Store
Brentwood,30.3312641,-97.7364653,Groomingdale's Of Austin,30.329879552995546,-97.72876473047201,Pet Store
Brentwood,30.3312641,-97.7364653,H-E-B,30.3344062,-97.7411258,Grocery Store
Brentwood,30.3312641,-97.7364653,Tom's Dive and Swim,30.33531678706949,-97.73929733191044,Sporting Goods Shop
Brentwood,30.3312641,-97.7364653,Austin Simply Fit,30.32349816637596,-97.73959106465314,Gym
Brentwood,30.3312641,-97.7364653,Way South Philly,30.324815392959838,-97.73995576411932,Sandwich Place
Brentwood,30.3312641,-97.7364653,Little Woodrow's,30.329034562917556,-97.73977602950517,Bar
Brentwood,30.3312641,-97.7364653,Dollar Tree,30.326747225030086,-97.74036352967045,Discount Store
Brentwood,30.3312641,-97.7364653,Brooklyn Pie Co,30.32912256347263,-97.73977832413935,Pizza Place
Brentwood,30.3312641,-97.7364653,Karavel Shoes,30.331205861585932,-97.7398308441986,Shoe Store
Brentwood,30.3312641,-97.7364653,Pat's Games,30.32485118534138,-97.74294309681204,Hobby Shop
Brentwood,30.3312641,-97.7364653,Cheko's Mexican Restaurant and Bar,30.330723914920625,-97.73092946413497,Mexican Restaurant
Brentwood,30.3312641,-97.7364653,Redbox,30.334016799926758,-97.73947143554688,Video Store
Brentwood,30.3312641,-97.7364653,LV Nails,30.333322078637735,-97.74072340057849,Cosmetics Shop
Brentwood,30.3312641,-97.7364653,The Mediterranean Chef Cafe,30.329897199129103,-97.72798646041048,Mediterranean Restaurant
Brentwood,30.3312641,-97.7364653,Sherwin-Williams Paint Store,30.331632,-97.73964000000001,Hardware Store
Brentwood,30.3312641,-97.7364653,AT&T,30.332795083838278,-97.74034994537942,Mobile Phone Shop
Brentwood,30.3312641,-97.7364653,Papa John's Pizza,30.327435047082876,-97.73943423489618,Pizza Place
Brentwood,30.3312641,-97.7364653,Poke-Poke,30.32481800143021,-97.74329257184993,Sushi Restaurant
Brentwood,30.3312641,-97.7364653,Uptown Modern,30.322998852447228,-97.73923154559527,Furniture / Home Store
Brentwood,30.3312641,-97.7364653,Golden Bones Boutique & Salon,30.33229072583607,-97.73516962500041,Boutique
Brentwood,30.3312641,-97.7364653,Shell,30.326096831842754,-97.7398638852792,Gas Station
Brentwood,30.3312641,-97.7364653,Out Of The Past,30.327171375170163,-97.73971537388074,Antique Shop
Brentwood,30.3312641,-97.7364653,Sue Patrick,30.324093937426543,-97.73988916349836,Clothing Store
Brentwood,30.3312641,-97.7364653,Austin Diner,30.324943194121158,-97.73995318812894,Diner
Brentwood,30.3312641,-97.7364653,McCallum High School Track,30.328721584966228,-97.72908056578815,Track
Brentwood,30.3312641,-97.7364653,Audio Systems,30.329628999999997,-97.728426,Electronics Store
Brentwood,30.3312641,-97.7364653,Bus Stop 966 - Woodrow & Payne,30.335888,-97.72942,Bus Stop
Brentwood,30.3312641,-97.7364653,Around the Corner Store,30.32494351407496,-97.74338269569263,Gas Station
Bryker Woods,30.305246,-97.7545846,Kerbey Lane Café,30.30803,-97.75047,Café
Bryker Woods,30.305246,-97.7545846,Tiny Boxwoods,30.306057697513648,-97.74978892043808,American Restaurant
Bryker Woods,30.305246,-97.7545846,Austin Flower Company,30.30778743987544,-97.75122397721039,Flower Shop
Bryker Woods,30.305246,-97.7545846,Anderson's Coffee Co,30.308382199768992,-97.75035542414014,Coffee Shop
Bryker Woods,30.305246,-97.7545846,Olive & June,30.307449798607802,-97.7510456265514,Italian Restaurant
Bryker Woods,30.305246,-97.7545846,Define Body & Mind: Austin,30.308679521488777,-97.75396409288696,Recreation Center
Bryker Woods,30.305246,-97.7545846,Brykerwood Veterinary Clinic,30.30597767205893,-97.74961077708609,Veterinarian
Bryker Woods,30.305246,-97.7545846,Brick Oven on 35th,30.3076101416068,-97.7509406874975,Italian Restaurant
Bryker Woods,30.305246,-97.7545846,Salon Hush,30.307783264949382,-97.75240290878295,Cosmetics Shop
Bryker Woods,30.305246,-97.7545846,MedSavers Pharmacy,30.308453999999998,-97.752769,Pharmacy
Bryker Woods,30.305246,-97.7545846,Blush Bridal Lounge,30.308139,-97.754284,Bridal Shop
Bryker Woods,30.305246,-97.7545846,Things Celtic,30.30821268811748,-97.75280655874764,Gift Shop
Bryker Woods,30.305246,-97.7545846,Wells Fargo,30.30679966307638,-97.75089740753174,Bank
Bryker Woods,30.305246,-97.7545846,Reed Park,30.303886958843936,-97.75773116896949,Park
Bryker Woods,30.305246,-97.7545846,Austin's Pizza,30.307448440962386,-97.7507995886882,Pizza Place
Bryker Woods,30.305246,-97.7545846,Otherside Deli,30.303257151171582,-97.74560914436601,Sandwich Place
Bryker Woods,30.305246,-97.7545846,"Teo Espresso, Gelato & Bella Vita",30.30650932724079,-97.74522194114647,Ice Cream Shop
Bryker Woods,30.305246,-97.7545846,Lee's Meat Market,30.308671962603388,-97.75071300510969,Sandwich Place
Bryker Woods,30.305246,-97.7545846,Tarrytown Pharmacy,30.303838516188566,-97.76416797972806,Pharmacy
Bryker Woods,30.305246,-97.7545846,Food! Food!,30.30419,-97.764603,Sandwich Place
Bryker Woods,30.305246,-97.7545846,Shoal Creek Trail,30.298944674737953,-97.74746417999268,Trail
Bryker Woods,30.305246,-97.7545846,Starbucks,30.306594,-97.749274,Coffee Shop
Bryker Woods,30.305246,-97.7545846,SUBWAY,30.30790440160661,-97.74947446441803,Sandwich Place
Bryker Woods,30.305246,-97.7545846,34th Street Cafe,30.302817390375914,-97.74526016179608,American Restaurant
Bryker Woods,30.305246,-97.7545846,Starbucks,30.3048083,-97.76455829,Coffee Shop
Bryker Woods,30.305246,-97.7545846,Snow Pea,30.30860437680467,-97.75151714102851,Asian Restaurant
Bryker Woods,30.305246,-97.7545846,Randalls,30.3042649,-97.7638905,Supermarket
Bryker Woods,30.305246,-97.7545846,Avis Car Rental,30.307671999999997,-97.750948,Rental Car Location
Bryker Woods,30.305246,-97.7545846,Bailey Park,30.30395069726207,-97.75774706089703,Park
Bryker Woods,30.305246,-97.7545846,The UPS Store,30.30304361214848,-97.74602919816971,Shipping Store
Bryker Woods,30.305246,-97.7545846,Shell,30.30320452311858,-97.764183800331,Gas Station
Bryker Woods,30.305246,-97.7545846,Doc's Motorworks 38th,30.305871438769444,-97.74434091680841,American Restaurant
Bryker Woods,30.305246,-97.7545846,Fiddler's Green Music Shop,30.307851,-97.754026,Music Store
Bryker Woods,30.305246,-97.7545846,Vickmay Skin & Body Spa,30.307491,-97.752553,Spa
Bryker Woods,30.305246,-97.7545846,Blue Water Spa,30.307497,-97.75256739999999,Spa
Bryker Woods,30.305246,-97.7545846,Food Trucktopia,30.299231544621268,-97.75799751104077,Food Truck
Bryker Woods,30.305246,-97.7545846,Shell,30.30150042284386,-97.74521523956658,Gas Station
Bryker Woods,30.305246,-97.7545846,Tex-Dot cafeteria,30.312041999999998,-97.756062,Café
Bryker Woods,30.305246,-97.7545846,Cafe Americano,30.313236660136038,-97.75596276318537,Café
Bryker Woods,30.305246,-97.7545846,Shoal Creek Park,30.31151856226683,-97.74864216930044,Residential Building (Apartment / Condo)
Bryker Woods,30.305246,-97.7545846,Wally's Menswear,30.304249,-97.764054,Men's Store
Bryker Woods,30.305246,-97.7545846,Party Cat,30.304249,-97.764054,Gift Shop
Bryker Woods,30.305246,-97.7545846,Marlene's,30.312121439962453,-97.76008279055898,American Restaurant
Bryker Woods,30.305246,-97.7545846,Over the Rainbow,30.30447473656534,-97.76450957100069,Toy / Game Store
Bryker Woods,30.305246,-97.7545846,Casis Village,30.30462818198434,-97.76452870268548,Shopping Mall
Bryker Woods,30.305246,-97.7545846,Workout Trail @ Camp Mabry,30.312825763321854,-97.75984401497084,Trail
Bryker Woods,30.305246,-97.7545846,Better Bronze Mobile Airbrush Tanning,30.297553782279895,-97.75995013735472,Tanning Salon
Canyon Creek,30.434033,-97.820708,Trailhead Park,30.438612735819753,-97.82112436228672,Park
Canyon Creek,30.434033,-97.820708,Speedy Mart,30.43348779993461,-97.82201656764283,Convenience Store
Canyon Creek,30.434033,-97.820708,Old Twisy Oak Tree,30.428647,-97.822646,Trail
Canyon Creek,30.434033,-97.820708,Canyon Creek Tennis Courts,30.43429183141074,-97.827879910495,Tennis Court
